name, description
Wildberries, ,
OZON, ,
М.Видео, ,
Эльдорадо, ,
Такси Максим, ,
Яндекс Такси, ,
Ашан, ,
Пятёрочка, ,
Магнит, ,
Дикси, ,
Лента, ,
Верный, ,
Детский мир, ,
Fix price, ,
Красное и белое, ,
Почта России, ,
Сбер, ,
H&M, ,
IKEA, ,
Castorama, ,
Центробувь, ,
Глория Джинс, ,
Спорт Мастер, ,
ОБИ, ,
